step,ancien,nouveau,raison,score_ancien,score_nouveau
8902,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8903,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8915,KNN_ADWIN,SGD,bandit,1.0,0.999
8916,SGD,HoeffdingTree,bandit,0.999,0.9987
8917,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8937,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9987
8938,HoeffdingTree,KNN_ADWIN,bandit,0.9987,1.0
8980,KNN_ADWIN,SGD,bandit,1.0,0.999
8981,SGD,KNN_ADWIN,bandit,0.999,1.0
8997,KNN_ADWIN,SGD,bandit,1.0,0.999
8998,SGD,KNN_ADWIN,bandit,0.999,1.0
9028,KNN_ADWIN,SGD,bandit,1.0,0.999
9029,SGD,KNN_ADWIN,bandit,0.999,1.0
9031,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9985
9032,HoeffdingTree,KNN_ADWIN,bandit,0.9985,1.0
9039,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9985
9040,HoeffdingTree,KNN_ADWIN,bandit,0.9985,1.0
9046,KNN_ADWIN,SGD,bandit,1.0,0.999
9047,SGD,KNN_ADWIN,bandit,0.999,1.0
9067,KNN_ADWIN,SGD,bandit,1.0,0.999
9069,SGD,KNN_ADWIN,bandit,0.999,1.0
9099,KNN_ADWIN,SGD,bandit,1.0,0.999
9100,SGD,KNN_ADWIN,bandit,0.999,1.0
9102,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9986
9103,HoeffdingTree,KNN_ADWIN,bandit,0.9986,1.0
9130,KNN_ADWIN,SGD,bandit,1.0,0.999
9131,SGD,KNN_ADWIN,bandit,0.999,1.0
9163,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9984
9164,HoeffdingTree,KNN_ADWIN,bandit,0.9984,1.0
9173,KNN_ADWIN,SGD,bandit,1.0,0.999
9174,SGD,KNN_ADWIN,bandit,0.999,1.0
9195,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9984
9196,HoeffdingTree,KNN_ADWIN,bandit,0.9984,1.0
9239,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9982
9240,HoeffdingTree,KNN_ADWIN,bandit,0.9982,1.0
9284,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9982
9285,HoeffdingTree,KNN_ADWIN,bandit,0.9982,1.0
9307,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9982
9308,HoeffdingTree,KNN_ADWIN,bandit,0.9982,1.0
9332,KNN_ADWIN,SGD,bandit,1.0,0.999
9333,SGD,KNN_ADWIN,bandit,0.999,1.0
9354,KNN_ADWIN,SGD,bandit,1.0,0.999
